t_aux, position_x,position_y,position_z, velocity_x, velocity_y, velocity_z, latitudes, longitudes, altitudes, Bx_IGRF, By_IGRF, Bz_IGRF, vsun_x, vsun_y, vsun_z, Bx_IGRF_n, By_IGRF_n, Bz_IGRF_n, vsun_x_n, vsun_y_n, vsun_z_n
10282,5178.883384031677,2131.9918686503847,3871.1162700521104,-3.5280024225572304, -2.741442621463152, 6.216907449710981, 34.943793144652645, 119.23426981436009, 437054.10209153214, 0.6117177760056827, -0.06317871803284471, 0.7885491817929862, -0.7780146035894927, -0.2498670421257504, -0.2498670421257504, 25229.92508533167, -2605.7675377103274, 32523.228134131918, -0.7780146035894926, -0.24986704212575037, -0.24986704212575037
10284,5171.814268591298,2126.503559623419,3883.5403426133516,-3.541064978563055, -2.746816826720432, 6.207093207715303, 35.07137453281395, 119.20160932491717, 437084.2035876297, 0.6093576947353582, -0.06315837371509002, 0.7903759989375151, -0.7780143496805701, -0.24986716718460758, -0.24986716718460758, 25170.029410203086, -2608.8094687961775, 32647.14191722104, -0.7780143496805701, -0.24986716718460758, -0.24986716718460758
10286,5164.718902858316,2121.004405322926,3895.9450044742703,-3.554109811396075, -2.7521772283975245, 6.197247427261408, 35.19895042388271, 119.16887277362741, 437114.41311860736, 0.6070005396917963, -0.06313603328018913, 0.7921894887686346, -0.7780140957715741, -0.24986729224339757, -0.24986729224339757, 25109.92059628711, -2611.7617345695344, 32770.67129181423, -0.7780140957715741, -0.24986729224339757, -0.24986729224339757
10288,5157.597608335002,2115.4946548440494,3908.329693933896,-3.5671363301582213, -2.757523583791959, 6.1873705552368925, 35.326515639955424, 119.13606054993446, 437144.7287356747, 0.6046464489696244, -0.06311170531480578, 0.793989662653539, -0.7780138418624153, -0.24986741730216425, -0.24986741730216425, 25049.60232339875, -2614.624005121441, 32893.80981605641, -0.7780138418624153, -0.24986741730216425, -0.24986741730216425
10290,5150.450278727273,2109.9742255810515,3920.694598187104,-3.580144731459613, -2.7628559739045877, 6.177462444830318, 35.45407270188444, 119.10317156761612, 437175.15031064564, 0.6022954183510104, -0.06308539802055332, 0.7957766405153959, -0.7780135879531472, -0.2498675423608814, -0.2498675423608814, 24989.07464675162, -2617.396168431271, 33016.558429789184, -0.7780135879531472, -0.2498675423608814, -0.2498675423608814
10292,5143.276805766373,2104.4430341138113,3933.0399029588175,-3.5931352105718637, -2.768174478695225, 6.167522946858941, 35.58162412980788, 119.070204729047, 437205.6777225504, 0.5999474429063661, -0.06305711943623288, 0.7975505409931819, -0.7780133340437164, -0.24986766741957536, -0.24986766741957536, 24928.337609633578, -2620.078109479881, 33138.91805307163, -0.7780133340437164, -0.24986766741957536, -0.24986766741957536
10294,5136.077514492577,2098.9013309879824,3945.3650492422034,-3.606107179078313, -2.7734788573691715, 6.157552512456075, 35.70916474601108, 119.03716041736114, 437236.30900566874, 0.5976026574947494, -0.06302687835849365, 0.7993113763481643, -0.7780130801341942, -0.24986779247821084, -0.24986779247821084, 24867.394930318187, -2622.6695208087435, 33260.88232484246, -0.7780130801341942, -0.24986779247821084, -0.24986779247821084
10296,5128.852297428639,2093.349033109162,3957.670223356999,-3.619060832803862, -2.778769190312139, 6.147550993389732, 35.83669707015215, 119.00403752594465, 437267.0440341693, 0.5952610552530786, -0.06299468284467213, 0.8010592649937273, -0.778012826224527, -0.2498679175368144, -0.2498679175368144, 24806.246665133738, -2625.1702970429187, 33382.45219549387, -0.778012826224527, -0.2498679175368144, -0.2498679175368144
10298,5121.601191279274,2087.7861686028136,3969.9553631701233,-3.6319961061543085, -2.7840454508487604, 6.1375184412293535, 35.96422105552045, 118.97083543713987, 437297.88206782343, 0.5929226753551105, -0.06296054116969836, 0.8027942895321047, -0.778012572314715, -0.24986804259538584, -0.24986804259538584, 24744.894095559066, -2627.5802700751688, 33503.6261905383, -0.778012572314715, -0.24986804259538584, -0.24986804259538584
10300,5114.324086211995,2082.2126534079853,3982.2206532155105,-3.6449131933288297, -2.789307718108222, 6.12745470491737, 36.09173922058641, 118.93755302554185, 437328.8229886246, 0.5905875094343949, -0.06292446117332723, 0.8045165665703379, -0.7780123184048116, -0.2498681676538989, -0.2498681676538989, 24683.337266281538, -2629.899333509031, 33624.405243491565, -0.7780123184048116, -0.2498681676538989, -0.2498681676538989
10302,5107.021311966982,2076.6287399909675,3994.4655381080734,-3.657811509250578, -2.7945557538521397, 6.117360241222943, 36.219246387754445, 118.90419066536845, 437359.8648088924, 0.5882556881899766, -0.06288645190572788, 0.8062261094003627, -0.7780120644947454, -0.2498682927123888, -0.2498682927123888, 24621.579944883004, -2632.1272095321865, 33744.78310159969, -0.7780120644947452, -0.24986829271238878, -0.24986829271238878
